Kabupaten/Kota,Tahun,Pengeluaran Konsumsi Rumah Tangga,Pengeluaran Konsumsi LNPRT,Pengeluaran Konsumsi Pemerintah,Pembentukan Modal Tetap Bruto,Perubahan Inventori,Net Ekspor,PDRB
Sumba Barat,2023,2047019.52,93970.53,841102.56,1028472.91,59277.82,-1284153.91,2785689.42
Sumba Timur,2023,4236803.12,261125.19,1566855.07,3028929.43,70896.63,-1836205.11,7328404.32
Kupang,2023,4638528.09,263204.87,1885709.86,3366918.89,3938.37,-1000665.28,9157634.81
Timor Tengah Selatan,2023,6626235.99,197705.49,1464235.71,3198132.54,88777.35,-2078880.82,9496206.27
Timor Tengah Utara,2023,3472194.64,189519.58,888445.25,2292503.39,73892.74,-2097111.1,4819444.49
Belu,2023,3628814.23,114175.52,1136841.02,2174186.29,107084.62,-1680553.02,5480548.66
Alor,2023,2659298.69,114952.5,1297842.98,1649754.03,30142.97,-2116392.02,3635599.14
Lembata,2023,1598082.16,70949.86,881401.12,611269.87,10915.64,-1034308.75,2138309.9
Flores Timur,2023,4502111.85,223179.0,1450565.85,1601595.45,20418.37,-1735819.71,6062050.81
Sikka,2023,4689657.3,195146.24,1262718.33,2768413.1,33304.8,-2754574.03,6194665.73
Ende,2023,4764221.17,188708.88,1295268.49,3922092.67,61639.05,-2857551.28,7374378.98
Ngada,2023,2664785.29,129119.36,816486.59,1132564.33,140241.5,-769178.3,4114018.78
Manggarai,2023,3630291.24,249668.76,1357235.97,2428720.6,56433.89,-2220155.94,5502194.53
Rote Ndao,2023,2212419.47,140270.59,982151.32,1243980.71,55601.23,-887751.44,3746671.88
Manggarai Barat,2023,3631414.12,75572.91,1006355.68,2826510.86,26228.66,-3311102.94,4254979.29
Sumba Tengah,2023,1032592.45,55730.55,601286.03,620691.04,22995.47,-935378.04,1397917.49
Sumba Barat Daya,2023,3467681.15,201223.98,948733.0,1381282.94,22478.61,-1521499.55,4499900.12
Nagekeo,2023,1984110.62,199872.12,1061904.35,931007.79,33849.73,-1540782.83,2669961.8
Manggarai Timur,2023,2888497.91,57430.54,1084642.19,1452984.2,27074.88,-1573121.36,3937508.36
Sabu Raijua,2023,963219.3,53266.83,411465.91,682107.53,0.1,-471580.67,1638479.0
Malaka,2023,2672338.09,81294.9,1000435.24,1799524.87,36766.07,-2168178.27,3422180.9
Kota Kupang,2023,19881735.4,1217723.43,4762362.41,18545082.54,161554.92,-16090096.71,28478361.98
Sambas,2023,13781119.1,289263.12,2332781.54,6741043.24,21509.85,3037064.66,26202781.52
Bengkayang,2023,6168324.96,212468.51,1430003.02,3696944.29,486038.48,-847518.56,11146260.69
Landak,2023,7371990.22,191221.71,1964101.48,3526915.19,1149108.52,-519034.15,13684302.96
Mempawah,2023,6143981.38,41905.32,1813352.24,2830795.32,210774.84,-326801.6,10714007.49
Sanggau,2023,13882303.01,306281.59,2338225.03,8844634.65,142620.22,-984743.14,24529321.36
Ketapang,2023,14282559.59,269234.51,2524010.82,11371626.48,700471.84,6101258.77,35249162.02
Sintang,2023,9432749.97,229398.7,2370958.92,6465890.39,971055.01,-883195.31,18586857.69
Kapuas Hulu,2023,7078959.5,47452.98,2122946.55,3900334.57,602755.57,-611585.18,13140864.0
Sekadau,2023,4462981.61,105994.59,1158193.7,2647603.51,560672.28,-429110.66,8506335.03
Melawi,2023,4018661.14,97858.71,1497667.11,1942440.92,-139209.99,-773019.0,6644398.89
Kayong Utara,2023,2892042.26,82322.56,1070349.86,1613659.88,189790.21,-472371.36,5375793.41
Kubu Raya,2023,17684565.22,719256.48,2001750.79,13649827.23,1456168.2,2812230.85,38323798.78
Kota Pontianak,2023,21242006.44,516082.52,4889610.5,14629195.39,-241142.41,6849483.11,47885235.55
Kota Singkawang,2023,6777238.85,395972.88,1579604.23,4904013.9,35114.95,-792675.82,12899269.0
Kotawaringin Barat,2023,8616495.47,289538.09,1593833.15,11265363.38,8661.35,6777766.48,28551657.91
Kotawaringin Timur,2023,12049455.34,344414.06,2139199.45,13032710.16,4024.1,7372041.75,34941844.86
Kapuas,2023,8994481.82,413564.66,1891069.36,7866681.53,-45863.7,4854483.93,23974417.6
Barito Selatan,2023,3757281.27,336184.48,1138510.38,4020000.9,-21368.27,-749368.04,8481240.73
Barito Utara,2023,5026120.05,259986.1,1224347.74,5359811.29,-25486.09,2333498.0,14178277.09
Sukamara,2023,1660611.09,87157.17,651833.29,2254061.04,-31.95,1268485.07,5922115.7
Lamandau,2023,2245163.1,55189.89,794338.3,3042246.82,-3529.91,1385331.25,7518739.46
Seruyan,2023,4566277.51,85576.3,895046.58,4447171.99,-10106.64,1466094.67,11450060.4
Katingan,2023,5635114.66,148572.52,1759121.97,4724767.69,-255.52,-1511417.56,10755903.77
Pulang Pisau,2023,3176240.24,77659.01,1256898.0,3140934.69,-1065.3,-655661.0,6995005.64
Gunung Mas,2023,4079226.47,158369.24,1137491.44,3991705.37,-34726.8,-712088.31,8619977.41
Barito Timur,2023,3435229.87,76960.93,1353250.85,3543451.48,-22570.36,2518799.57,10905122.34
Murung Raya,2023,3921204.27,72618.79,1554409.91,3757698.38,-20582.09,3163513.44,12448862.71
Kota Palangka Raya,2023,9950220.56,637062.38,7681148.94,8992441.18,-36340.01,-3049139.88,24175393.18
Tanah Laut,2023,8131844.32,211234.25,1669401.26,3853425.97,-57561.43,6357362.52,20165706.89
Kota Baru,2023,8679801.29,197713.4,2450527.37,5861135.34,45610.64,17711383.83,34946171.87
Banjar,2023,14451142.06,219765.81,2553344.03,6615760.11,-5942.45,-1199566.08,22634503.49
Barito Kuala,2023,7537668.95,181239.11,1501493.53,3371199.85,4447.2,-2028569.75,10567478.89
Tapin,2023,4966949.75,184339.2,1634707.2,2348537.11,31339.55,4528303.96,13694176.77
Hulu Sungai Selatan,2023,6106702.11,166296.41,1610183.21,2486969.34,9652.88,-1214343.77,9165460.18
Hulu Sungai Tengah,2023,6648703.44,170710.75,1543075.31,2666748.02,-86330.62,-2348871.92,8594034.98
Hulu Sungai Utara,2023,5486353.73,160628.43,1425569.35,1744623.7,-12.11,-2705337.19,6111825.92
Tabalong,2023,6846598.86,167581.92,1992174.74,3729933.52,-287380.77,18566353.31,31015261.58
Tanah Bumbu,2023,8513172.82,175381.15,1870280.22,4345104.23,-313209.62,19070667.39,33661396.19
Balangan,2023,3236009.68,139323.25,1315440.08,3088166.38,-27298.49,13124546.81,20876187.73
Kota Banjarmasin,2023,26006032.69,292334.9,4265040.35,11923964.21,-780904.56,342654.85,42049122.44
Kota Banjar Baru,2023,6235982.75,257035.35,2905559.48,4985228.2,-85818.9,-969894.87,13328092.01
Paser,2023,7989123.04,98353.32,2476346.51,11672350.08,19793.64,36961280.57,59217247.16
Kutai Barat,2023,5592120.27,330361.02,3157940.72,13600248.99,7296.29,16648059.94,39336027.23
Kutai Kartanegara,2023,22894706.03,696756.93,7628676.38,85055221.71,157275.58,88443527.91,204876164.5
Kutai Timur,2023,10210644.06,383969.81,4229344.46,33880012.35,103901.33,119463651.7,168271523.7
Berau,2023,5585418.44,439771.38,2350490.74,9875035.05,5432.05,33023869.5,51280017.17
Penajam Paser Utara,2023,4919986.18,74570.67,2167085.0,12459332.92,14683.08,-2390050.83,17245607.03
Mahakam Ulu,2023,850125.54,32579.98,604290.83,1065907.83,8582.87,847680.0,3409167.05
Kota Balikpapan,2023,32662305.11,722571.04,5370273.75,53644805.45,96337.07,50672896.49,143169188.9
Kota Samarinda,2023,40323657.0,895407.09,15867389.31,41887291.6,150030.8,-9834327.5,89289448.3
Kota Bontang,2023,7081680.55,383680.4,1592731.06,9893314.41,-7412.03,49161678.46,68105672.86
Malinau,2023,2898786.95,151107.31,1828770.0,4923027.21,94807.61,8546160.09,18442659.18
Bulungan,2023,4308956.3,179500.8,2740184.1,12715946.71,28863.54,5604244.88,25577696.33
Tana Tidung,2023,572805.97,96405.42,797536.63,2543957.48,42817.5,4967615.61,9021138.62
Nunukan,2023,4971361.73,112241.06,1497181.51,7814679.03,37636.26,28092750.36,42525849.95
Kota Tarakan,2023,6760774.16,412848.39,1782840.77,10301018.08,164494.39,32657418.14,52079393.94
Bolaang Mongondow,2023,4825888.48,112045.04,1385902.61,2919313.06,379.28,1295887.3,10539415.77
Minahasa,2023,9164263.79,1179460.44,1577913.71,9140535.13,192.74,1065621.07,22127986.88
Kepulauan Sangihe,2023,2888909.35,98025.69,1132468.73,1666788.39,2016.6,-133242.7,5654966.06
Kepulauan Talaud,2023,1996342.22,57444.31,723064.59,903781.78,1279.12,-839305.49,2842606.54
Minahasa Selatan,2023,5391469.8,461956.06,1237802.43,4209531.65,1355.64,230579.02,11532694.61
Minahasa Utara,2023,7583610.81,339620.21,980706.49,8180477.66,262.9,1642853.1,18727531.16
Bolaang Mongondow Utara,2023,1565082.0,53147.24,589521.11,874303.62,295.94,180480.59,3262830.51
Siau Tagulandang Biaro,2023,1908369.81,217050.43,954952.53,895155.24,166.26,-861418.93,3114275.35
Minahasa Tenggara,2023,3654084.78,230395.75,715252.11,2949755.36,94.43,-829605.42,6719977.0
Bolaang Mongondow Selatan,2023,1360168.23,36382.44,400177.7,655202.07,32.45,274295.68,2726258.58
Bolaang Mongondow Timur,2023,1908007.41,40739.56,673448.7,747033.89,286.78,439136.17,3808652.51
Kota Manado,2023,19566644.67,814796.08,4630452.2,16043471.62,241.78,7500196.12,48555802.48
Kota Bitung,2023,8421255.11,322743.62,1697625.84,5947993.75,2940.85,6281150.56,22673709.73
Kota Tomohon,2023,2954192.99,79773.63,847688.66,2975605.08,1136.24,-1410703.42,5447693.18
Kota Kotamobagu,2023,3010686.69,87456.6,772838.68,1436856.13,339.11,-509429.61,4798747.6
Banggai Kepulauan,2023,3046083.59,51473.22,732021.59,744937.9,285.43,350729.05,4925530.78
Banggai,2023,13372500.65,649682.68,3337943.59,9162010.71,231946.62,11293879.15,38047963.4
Morowali,2023,6952355.24,169625.6,911107.25,69778911.27,254840.12,79979595.42,158046434.9
Poso,2023,6857208.99,209781.35,2226674.5,5290836.27,61037.37,-2934014.23,11711524.25
Donggala,2023,8198104.7,227254.86,1866065.88,5182068.44,282693.89,-700662.6,15055525.17
Toli-Toli,2023,5803631.52,131788.99,1528579.99,3493428.47,136496.77,-724998.69,10368927.05
Buol,2023,4047682.26,89739.1,1200482.19,2556941.43,8878.93,-720132.81,7183591.1
Parigi Moutong,2023,13300385.37,1295336.38,2514106.94,10603101.05,32691.28,-6093486.03,21652134.99
Tojo Una-Una,2023,3951365.41,117528.87,1385795.97,1828362.09,34480.65,-505117.03,6812415.96
Sigi,2023,6557707.67,306583.57,1651078.56,5341086.6,15302.95,-2499118.61,11372640.74
Banggai Laut,2023,2241295.56,30400.64,543230.69,375714.69,120756.85,-293964.69,3017433.74
Morowali Utara,2023,6271288.68,122786.32,1138920.05,17596468.71,119226.38,1185018.85,26433708.99
Kota Palu,2023,18113000.59,1103664.22,4212808.82,14706932.37,167429.28,-7516593.04,30787242.24
Kepulauan Selayar,2023,4173887.2,103033.4,1097181.77,3533501.85,-3494.19,-917865.49,7986244.54
Bulukumba,2023,11323342.33,231552.33,1815783.21,5402242.14,15796.63,81841.94,18870558.58
Bantaeng,2023,6320179.57,235726.24,1260863.83,6367377.36,43633.24,-1473879.23,12753901.01
Jeneponto,2023,8415432.63,330627.38,1387387.31,4734828.99,-5499.37,-2711119.63,12151657.3
Takalar,2023,8086723.31,239022.79,1436220.5,2854311.16,-9633.76,261735.87,12868379.87
Gowa,2023,16942844.58,566789.76,2616500.64,8602000.45,-19014.01,-255815.22,28453306.2
Sinjai,2023,8043996.17,176623.31,1346989.87,5711704.33,8711.14,-497051.91,14790972.92
Maros,2023,13761720.23,412782.54,1791371.56,6820270.07,-9269.08,3612094.92,26388970.24
Pangkajene dan Kepulauan,2023,14076466.26,379814.94,1629851.54,5346416.22,16576.03,11218058.81,32667183.8
Barru,2023,5651804.18,68298.4,1118157.69,4461547.16,-2996.89,-1869701.53,9427109.01
Bone,2023,26465137.89,578855.96,4133639.59,16183124.43,-73910.2,-351676.86,46935170.81
Soppeng,2023,7908606.88,212423.15,1268465.11,6015644.64,-3473.94,-492332.48,14909333.36
Wajo,2023,16021750.45,358637.7,1489948.14,7141986.03,-143528.74,-280221.24,24588572.35
Sidenreng Rappang,2023,10503246.94,342805.54,1405970.85,7081805.8,-21075.58,-1108725.82,18204027.73
Pinrang,2023,14719570.14,242904.96,1808966.69,8939252.78,-17294.07,-546911.13,25146489.36
Enrekang,2023,5711895.92,132505.06,1310170.58,3656763.31,46848.89,-1205884.48,9652299.28
Luwu,2023,11543237.9,227799.43,1707988.12,8167961.39,-89923.33,198580.03,21755643.55
Tana Toraja,2023,5690682.85,202662.92,1250481.19,3041374.47,-1361.36,-810730.81,9373109.27
Luwu Utara,2023,9824542.73,207689.44,1452555.81,5286776.67,2876.13,1066062.56,17840503.34
Luwu Timur,2023,11945290.25,316338.45,1364706.82,8678915.43,52029.16,8338668.32,30695948.43
Toraja Utara,2023,7015338.18,351651.63,1470230.6,4244518.7,-3027.9,-770947.97,12307763.25
Kota Makasar,2023,113504960.6,4058924.85,17644449.45,105805700.5,-63307.47,-14047938.99,226902788.9
Kota Parepare,2023,5013442.95,58883.41,1300173.24,3729216.99,5348.71,-795461.3,9311604.0
Kota Palopo,2023,5963033.18,162584.6,1307614.52,4246739.4,3858.81,-1184005.04,10499825.47
Buton,2023,2655918.96,64835.06,652131.68,1645503.63,120328.31,-76061.4,5062656.23
Muna,2023,5665725.6,97855.31,1470736.89,2908365.42,428084.37,-1757076.45,8813691.13
Konawe,2023,6910573.06,142223.89,1525341.1,3746830.09,161944.55,5808496.34,18295409.02
Kolaka,2023,7841001.63,202475.15,1203888.04,14873812.76,141156.29,11421877.1,35684210.97
Konawe Selatan,2023,8722849.06,242099.82,1624379.35,5655502.22,237620.31,-29982.24,16452468.51
Bombana,2023,4209382.26,103419.66,830871.26,2565230.5,137045.11,711418.23,8557367.03
Wakatobi,2023,2719560.06,97648.37,1154464.35,1697448.75,272583.05,-173603.23,5768101.36
Kolaka Utara,2023,4787464.17,89076.24,805655.21,4261187.31,130802.26,1152751.22,11226936.42
Buton Utara,2023,1789128.17,33741.55,731659.97,1588248.55,108400.91,-201923.06,4049256.08
Konawe Utara,2023,1801036.9,71018.5,602458.77,1373751.69,110778.65,1300742.7,5259787.2
Kolaka Timur,2023,3720747.28,48683.66,559369.24,2075625.49,81283.93,-860306.02,5625403.57
Konawe Kepulauan,2023,925755.09,20617.32,529413.61,543448.37,46352.08,-348186.47,1717400.0
Muna Barat,2023,2866795.94,41887.3,497722.18,1548053.28,133943.52,-1701416.49,3386985.73
Buton Tengah,2023,1793276.12,35073.8,386823.67,1204486.7,112513.16,-506217.61,3025955.83
Buton Selatan,2023,2073364.91,41495.45,434594.21,1371361.83,96572.69,-424216.62,3593172.48
Kota Kendari,2023,15874561.24,279677.79,7166737.73,11426245.89,521190.91,-7008314.53,28260099.03
Kota Baubau,2023,6749241.73,124977.89,1625296.15,5176589.25,497744.54,-2652012.57,11521837.0
Boalemo,2023,4075391.63,37293.01,1134486.0,1250596.73,131733.86,-42863.56,6586637.68
Gorontalo,2023,10130800.29,133841.06,2062046.14,5268838.86,179226.84,-1686998.11,16087755.07
Pohuwato,2023,4525525.52,45101.42,1103877.11,1543657.0,124531.84,767998.42,8110691.31
Bone Bolango,2023,3506753.71,34679.63,1330573.51,1479249.21,108537.21,-761009.64,5698783.63
Gorontalo Utara,2023,2500920.28,64831.08,745794.84,1221808.44,50694.17,-438897.23,4145151.58
Kota Gorontalo,2023,7010930.12,67525.23,2952223.24,3433904.48,139925.09,-3068578.67,10535929.5
Majene,2023,3711460.34,72208.15,1241774.84,1521783.37,-55117.33,-523385.68,5968723.69
Polewali Mandar,2023,9865615.61,89927.75,1850877.78,3981417.82,361287.25,-146356.62,16002769.61
Mamasa,2023,2527842.75,68398.29,778288.25,987779.39,87028.45,-974958.29,3474378.84
Mamuju,2023,7101007.76,113037.88,3432139.77,4384851.09,184132.17,-835661.2,14379507.47
Mamuju Utara,2023,3597788.85,61169.88,843330.98,4054549.5,-33258.7,5862597.63,14386178.14
Mamuju Tengah,2023,2359040.31,49570.41,495830.47,1010689.99,144720.35,5946.84,4065798.38
Maluku Tenggara Barat,2023,2692183.6,146903.91,1127779.41,1673922.41,37650.22,-2285148.22,3393291.33
Maluku Tenggara,2023,2527400.56,105675.85,1201420.64,1405269.87,29898.65,-1159068.52,4110597.05
Maluku Tengah,2023,9000062.23,319018.15,2335346.39,2406724.11,31941.9,-3330562.09,10762530.7
Buru,2023,2508213.68,89299.47,1060592.96,1166131.65,21384.89,-1868431.53,2977191.13
Kepulauan Aru,2023,2093915.75,98569.7,941767.59,1272319.81,14910.07,14872.11,4436355.02
Seram Bagian Barat,2023,2864820.72,99829.23,1433501.76,1768693.92,34701.88,-2414002.54,3787544.96
Seram Bagian Timur,2023,2087625.79,60139.34,1367560.59,1271301.66,19929.21,-1297203.51,3509353.08
Maluku Barat Daya,2023,1268801.09,34847.77,808171.67,799907.57,15109.53,-58534.86,2868302.76
Buru Selatan,2023,1518049.73,61324.79,891326.64,837788.5,25231.17,-1567531.16,1766189.67
Kota Ambon,2023,12254004.11,447432.92,4109604.39,3855232.58,29255.24,-2164824.58,18530704.66
Kota Tual,2023,2061994.36,66178.81,869066.65,976672.44,23814.82,-795316.67,3202410.4
Halmahera Barat,2023,1760087.93,122662.91,737269.8,274721.89,-1503.52,-231256.92,2661982.09
Halmahera Tengah,2023,1087623.79,42371.23,1116953.93,19714527.21,-276178.84,6673047.33,28358344.64
Kepulauan Sula,2023,1785964.63,23556.04,756136.8,888729.11,824.65,-410666.44,3044544.8
Halmahera Selatan,2023,4325226.9,54306.32,1216189.82,7776806.77,-2585.48,4357424.37,17727368.7
Halmahera Utara,2023,3747466.41,86467.03,1457410.28,1536131.38,-38614.89,-46506.4,6742353.8
Halmahera Timur,2023,1871703.4,110591.25,1262755.39,2230534.52,-4847.62,-230015.26,5240721.68
Pulau Morotai,2023,1014085.69,9284.19,358561.46,625010.16,-7.27,-153302.83,1853631.4
Pulau Taliabu,2023,809945.9,2942.93,221406.05,295135.58,1078.88,606284.78,1936794.1
Kota Ternate,2023,8640447.34,164219.66,4190497.3,4090876.57,-16859.14,-3394309.19,13674872.54
Kota Tidore Kepulauan,2023,1941289.55,60445.71,2992879.38,869726.4,1242.82,-2354117.54,3511466.33
Fakfak,2023,3308037.06,104782.44,2035467.91,1941734.0,203418.28,-1781979.27,5811460.42
Kaimana,2023,1296980.29,69531.7,1302814.51,764086.35,-67415.46,-452016.36,2913981.04
Teluk Wondama,2023,607185.14,40360.9,866586.06,529759.73,575826.46,-866447.02,1753271.27
Teluk Bintuni,2023,1560893.19,71103.43,2052729.57,2859372.07,186722.49,32806481.98,39537302.73
Manokwari,2023,5236339.75,248801.88,3317999.56,2827641.34,-159116.34,-682379.83,10789286.36
Sorong Selatan,2023,886543.45,62410.04,1128951.21,737090.9,-53962.08,-509598.34,2251435.17
Sorong,2023,3327043.88,157180.11,2195232.12,2235961.64,-102903.29,4215631.92,12028146.37
Raja Ampat,2023,1238961.38,59448.89,1225166.5,606951.68,20529.31,1016457.76,4167515.52
Tambrauw,2023,105151.37,9490.78,222379.97,63960.13,-41895.66,-86495.78,272590.81
Maybrat,2023,689759.93,28607.36,837613.65,168563.74,304.9,-913224.28,811625.3
Manokwari Selatan,2023,696729.11,25104.42,463610.26,71704.72,11040.59,-340996.26,927192.83
Pegunungan Arfak,2023,138469.89,3047.95,171306.06,124245.57,2439.51,-119023.6,320485.39
Kota Sorong,2023,9932489.44,132853.74,3014293.01,3143733.53,-413786.86,1019091.47,16828674.33
Merauke,2023,13338261.32,218311.82,3521745.04,5294402.0,-499343.58,-2922835.47,18950541.14
Jayawijaya,2023,8863904.19,86989.93,2057636.33,5027253.6,-626519.86,-5254411.29,10154852.92
Jayapura,2023,9508050.98,187559.24,3618576.24,5568797.89,413574.41,-174991.43,19121567.33
Nabire,2023,9084757.67,343827.87,1908053.39,3419579.26,23222.01,-1217557.15,13561883.06
Kepulauan Yapen,2023,3555750.05,213874.03,755373.75,1080439.37,181019.42,-818895.2,4967561.42
Biak Numfor,2023,4672757.09,260614.7,1776020.71,1195825.44,234215.86,-1857814.34,6281619.46
Paniai,2023,3979450.2,15172.53,1260485.41,2420737.28,18205.5,-2680138.21,5013912.7
Puncak Jaya,2023,1503140.95,55068.54,689949.39,739237.55,3073.54,-1481098.6,1509371.37
Mimika,2023,14743913.34,256714.66,4801727.98,23269172.73,9549848.81,74251547.15,126872924.7
Boven Digoel,2023,3773001.69,40207.46,959678.45,2338851.11,-212434.77,-1558248.58,5341055.36
Mappi,2023,2836514.43,57241.29,1208720.24,1834419.88,-7818.18,-2329126.79,3599950.86
Asmat,2023,2607260.49,55038.83,1426146.56,1549771.57,-1660.87,-2491256.82,3145299.77
Yahukimo,2023,2336437.72,23408.06,1071258.19,1560077.38,12008.55,-2102867.29,2900322.61
Pegunungan Bintang,2023,1997194.75,23877.28,675564.84,1028283.34,5480.2,-1361140.4,2369260.0
Tolikara,2023,1688299.19,26643.4,815736.64,945104.65,3353.63,-1470761.23,2008376.29
Sarmi,2023,2513612.37,25202.17,1138904.39,1812859.3,116560.23,-2049013.75,3558124.72
Keerom,2023,2482416.57,41362.58,1035850.69,1599314.62,15911.6,-1788009.26,3386846.81
Waropen,2023,1487494.15,51071.52,854103.7,1029783.17,64533.63,-1182801.51,2304184.66
Supiori,2023,965442.65,73357.24,388271.53,849875.66,36067.22,-1140985.01,1172029.29
Mamberamo Raya,2023,1482275.33,34299.41,621308.1,1019101.07,42705.92,-1056196.2,2143493.63
Nduga,2023,1134720.75,5701.63,507380.14,928072.65,-13063.79,-1051152.04,1511659.33
Lanny Jaya,2023,1881511.69,37230.94,757689.63,1118738.96,-8512.9,-1461736.37,2324921.95
Mamberamo Tengah,2023,1215042.48,14092.76,569134.99,802097.19,-13234.18,-1179079.7,1408053.54
Yalimo,2023,1198859.35,13736.78,493043.31,809152.89,-5600.52,-950090.99,1559100.82
Puncak,2023,1437259.54,21110.18,595721.69,994946.91,21361.31,-1401143.41,1669256.23
Dogiyai,2023,1423824.01,39147.85,665205.23,748455.86,1910.04,-1334950.19,1543592.8
Intan Jaya,2023,1007732.51,8496.44,476170.01,819966.68,-33907.38,-873720.55,1404737.72
Deiyai,2023,1192072.09,5886.39,523387.12,726616.97,-28117.68,-755947.17,1663897.72
